"Source","Target","Weight"
"Aqueous solution","Acetone","2"
"Aqueous solution","Acetoxy group","3"
"Aqueous solution","Acid dissociation constant","2"
"Aqueous solution","Acid salt","2"
"Aqueous solution","Acid strength","5"
"Aqueous solution","Acid value","2"
"Aqueous solution","Addition","2"
"Aqueous solution","Adsorption","14"
"Aqueous solution","Agglomerate","6"
"Aqueous solution","Alcohol","2"
"Aqueous solution","Alkali","3"
"Aqueous solution","Alkali hydroxide","2"
"Aqueous solution","Alkali metal","12"
"Aqueous solution","Alkali metal halide","2"
"Aqueous solution","Alkali salt","2"
"Aqueous solution","Alkaline earth metal","11"
"Aqueous solution","Alkalinity","4"
"Aqueous solution","Alpha-Cyclodextrin","2"
"Aqueous solution","Alum","3"
"Aqueous solution","Aluminium","2"
"Aqueous solution","Aluminium oxide","2"
"Aqueous solution","Aluminium sulfate","2"
"Aqueous solution","Amine","22"
"Aqueous solution","Amino acid","3"
"Aqueous solution","Aminopolycarboxylic acid","2"
"Aqueous solution","Ammonium acetate","4"
"Aqueous solution","Ammonium carbonate","2"
"Aqueous solution","Ammonium hydroxide","2"
"Aqueous solution","Anode","2"
"Arc length","Accelerometer","3"
"Arc reactor","Acetylene","2"
"Arc welding","Aluminium alloy","3"
"Area density","Alloy","2"
"Argentopyrite","Altaite","2"
"Arginine","Amino acid","3"
"Argon","Acetylene","2"
"Argon","Addition","2"
"Argon","Adult education","2"
"Argon","Aluminium fluoride","2"
"Argon","Ammonium bicarbonate","2"
"Argon","Amorphous metal","2"
"Arm","Aluminium alloy","2"
"Aromatic hydrocarbon","Amine","4"
"Aromatic hydrocarbon","Aqueous solution","2"
"Aromaticity","Alkane","3"
"Aromaticity","Alkene","2"
"Aromaticity","Aluminium chloride","4"
"Aromaticity","Antimony","2"
"Arsenic","Alkali","8"
"Arsenic","Ammonium","2"
"Arsenic","Ammonium hydroxide","2"
"Arsenic","Antimony","90"
"Arsenic acid","Alkali","2"
"Arsenic acid","Arsenic","4"
"Arsenic sulfide","Arsenic","2"
"Arsenopyrite","Arsenic","3"
"Arsenous acid","Alkali","2"
"Arsenous acid","Arsenic","4"
"Arsenous acid","Arsenic acid","2"
"Aryl","Alkali metal","3"
"Aryl","Alkane","2"
"Aryl","Alkene","5"
"Aryl","Alkoxy group","7"
"Aryl","Alkyl","12"
"Aryl","Aluminium chloride","3"
"Aryl","Amine","2"
"Aryl","Ammonium chloride","3"
"Ascorbic acid","Acetonitrile","2"
"Ascorbic acid","Alkali hydroxide","2"
"Ascorbic acid","Amine","3"
"Ascorbic acid","Ammonium metavanadate","2"
"Ascorbic acid","Aqueous solution","2"
"Asparagine","Amino acid","4"
"Asparagine","Arginine","5"
"Asparagus racemosus","Abelmoschus moschatus","2"
"Asparagus racemosus","Abrus precatorius","2"
"Asparagus racemosus","Acmella oleracea","2"
"Asparagus racemosus","Acorus calamus","2"
"Asparagus racemosus","Andrographis paniculata","2"
"Asparagus racemosus","Anisomeles malabarica","2"
"Asparagus racemosus","Antimony","2"
"Aspartic acid","Alanine","3"
"Aspartic acid","Amino acid","7"
"Aspartic acid","Arginine","2"
"Aspartic acid","Asparagine","2"
"Aspect ratio","Advance ratio","2"
"Aspect ratio","Airfoil","4"
"Asphalt","Ammonium chloride","2"
"Asphaltene","Asphalt","3"
"Aspirin","Ammonium chloride","2"
"Asteroid","Aluminium powder","8"
"Asthma","Animal","2"
"Asthma","Antioxidant","2"
"Asthma","Aphrodisiac","2"
"Asthma","Apoptosis","2"
"Atmosphere of Earth","Acoustic resonance","2"
"Atmosphere of Earth","Ammonium chloride","2"
"Atmospheric Environment","Atmosphere","3"
"Atmospheric pressure","Aluminium alloy","2"
"Atmospheric pressure","Ammonium chloride","3"
"Atmospheric pressure","Antimony","6"
"Atmospheric pressure","Aqueous solution","11"
"Atmospheric pressure","Argon","2"
"Atmospheric pressure","Arsenic","7"
"Atomic energy","Astronautics","2"
"Atomic number","Aldehyde","2"
"Atomic number","Alkali metal","6"
"Atomic number","Alkaline earth metal","2"
"Atomic number","Alkane","2"
"Atomic number","Alloy","2"
"Atomic number","Antimony","4"
"Atomic number","Aromaticity","2"
"Atomic radius","Amorphous metal","4"
"Atomic ratio","Accordance","2"
"Atomic ratio","Aldehyde","2"
"Atomic ratio","Alkane","2"
"Atomic ratio","Alloy","13"
"Atomic ratio","Amorphous metal","14"
"Atomic ratio","Antimony","6"
"Atomic ratio","Aromaticity","2"
"Atomic ratio","Atomic number","7"
"Attempt","Applicant (sketch)","2"
"Austenite","Acicular ferrite","5"
"Austenite","Annealing temperature","5"
"Austenite","Aspect ratio","3"
"Austenite","Austempering","2"
"Austenitic stainless steel","Advance ratio","2"
"Austenitic stainless steel","Atmospheric pressure","2"
"Autodesk 3ds Max","Aqueous solution","2"
"Automotive engine","Aircraft diesel engine","2"
"Automotive engine","Aluminium alloy","2"
"Automotive industry","Aerospace engineering","6"
"Automotive industry","Aerospace manufacturer","6"
"Automotive industry","Air conditioning","3"
"Automotive industry","Aluminium alloy","2"
"Automotive industry","Antifreeze","2"
"Automotive industry","Arms industry","2"
"Automotive industry","Austenitic stainless steel","8"
"Automotive shredder residue","Asr prayer","7"
"Auxiliary power unit","Aluminium alloy","3"
"Average","Acceleration voltage","3"
"Average","Acicular ferrite","2"
"Average","Addition","2"
"Average","Alloy steel","6"
"Average","Aluminium alloy","4"
"Average","Angular displacement","2"
"Average","Aspect ratio","2"
"Average","Austenite","4"
"Avogadrite","Albite","4"
"Avogadrite","Amblygonite","4"
"Avogadrite","Amphibole","4"
"Avogadrite","Amphibolite","2"
"Avogadrite","Analcime","4"
"Avogadrite","Apatite","2"
"B11","Amorphous metal","2"
"B5","B1","2"
"BaSO4","Algarot","2"
"BaSO4","Antioxidant","2"
"BaSO4","BA2","2"
"BaSO4","Barium carbonate","3"
"BaSO4","Barium chloride","3"
"BaSO4","Barium fluoride","3"
"Bacopa monnieri","Abelmoschus moschatus","2"
"Bacopa monnieri","Abrus precatorius","2"
"Bacopa monnieri","Acmella oleracea","2"
"Bacopa monnieri","Acorus calamus","2"
"Bacopa monnieri","Andrographis paniculata","2"
"Bacopa monnieri","Anisomeles malabarica","2"
"Bacopa monnieri","Antimony","2"
"Bacopa monnieri","Asparagus racemosus","2"
"Bacteria","Adsorption","2"
"Bacterial growth","Alloy","2"
"Bainite","Acicular ferrite","9"
"Bainite","Alloy steel","2"
"Bainite","Aspect ratio","4"
"Bainite","Austenite","60"
"Bainite","Average","12"
"Ball mill","Antimony","2"
"Ball propellant","Ball mill","2"
"Band gap","Applied physics","3"
"Bar (unit)","Afterlife","2"
"Bar stock","Aluminium alloy","2"
"Barium","Acetone","2"
"Barium","Alkali metal","2"
"Barium","Alkaline earth metal","2"
"Barium","Alloy","3"
"Barium","Aluminium oxide","4"
"Barium","Ammonium sulfate","2"
"Barium","Antimony","14"
"Barium","Arsenic","3"
"Barium carbonate","Alkalinity","2"
"Barium carbonate","Aluminium alloy","2"
"Barium carbonate","Aluminium oxide","2"
"Barium fluoride","Alkalinity","4"
"Barium fluoride","Aluminium alloy","2"
"Barium fluoride","Aluminium oxide","4"
"Barium fluoride","Barium carbonate","8"
"Barium oxide","Aluminium oxide","3"
"Barium oxide","Aluminothermic reaction","3"
"Barium oxide","Barium carbonate","3"
"Barium sulfate","Ammonium hydroxide","2"
"Barium sulfate","Antimony","3"
"Barium sulfate","Arsenic","3"
"Barley","Alfalfa","2"
"Base (chemistry)","Alite","2"
"Base metal","14A","2"
"Base metal","Adsorption","9"
"Base metal","Alkali","2"
"Base metal","Alkalinity","2"
"Base metal","Alloy","14"
"Base metal","Ammonium","5"
"Base metal","Ammonium chloride","5"
"Base metal","Ammonium sulfate","2"
"Base metal","Antimony","6"
"Base metal","Aqueous solution","16"
"Base metal","Arsenic","2"
"Basic copper carbonate","Aqueous solution","2"
"Basic oxide","Acidic oxide","2"
"Basic oxygen steelmaking","Argon oxygen decarburization","2"
"Basis function","Amplification factor","4"
"Bastnäsite","Americium","2"
"Battery recycling","Alkaline battery","2"
"Battery recycling","Aromaticity","2"
"Bauxite","Argillite","2"
"Bayer process","Aryl","2"
"Beam diameter","Atmospheric pressure","2"
"Behavior","Alkali metal","6"
"Bell jar","Aluminium foil","2"
"Belt (mechanical)","10R","3"
"Belt buckle","Ballpoint pen","2"
"Belt press","Anvil","2"
"Bentonite","Acrylic resin","2"
"Bentonite","Alkyd","2"
"Bentonite","Antioxidant","2"
"Benzene","Alkoxide","2"
"Benzene","Ammonium","2"
"Benzhydryl compounds","Acrylic acid","2"
"Benzhydryl compounds","Alkane","2"
"Benzhydryl compounds","Alkene","2"
"Benzhydryl compounds","Alkyl phosphate","2"
"Benzhydryl compounds","Amidoamine","3"
"Benzhydryl compounds","Aziridine","2"
"Benzoic acid","Acetic acid","4"
"Benzoic acid","Amine","2"
"Benzoic acid","Ammonium metavanadate","2"
"Benzoic acid","Ascorbic acid","3"
"Benzoic acid","Benzene","4"
"Benzotriazole","Alkyl","2"
"Benzoxazole","Benzotriazole","2"
"Benzyl alcohol","1-Propanol","2"
"Benzyl alcohol","2-Methoxyethanol","2"
"Benzyl alcohol","2-Pyrrolidone","2"
"Benzyl group","Alkoxy group","2"
"Benzylamine","Aniline","2"
"Beryl","Albite","4"
"Beryl","Amblygonite","4"
"Beryl","Amphibole","4"
"Beryl","Amphibolite","2"
"Beryl","Analcime","4"
"Beryl","Apatite","2"
"Beryl","Avogadrite","5"
"Beryllium","1X","3"
"Beryllium","Alkali metal","6"
"Beryllium","Aluminium alloy","10"
"Beryllium","Aluminium oxide","2"
"Beryllium","Amorphous metal","8"
"Beryllium","Antimony","26"
"Beryllium","Antinomy","4"
"Beryllium","Arsenic","14"
"Beryllium","Aspect ratio","4"
"Beryllium","Barium","13"
"Beryllium","Benzhydryl compounds","2"
"Beryllium copper","Beryllium","3"
"Beta","2-Mercaptoethanol","2"
"Beta","Addition","3"
"Beta","Alpha","43"
"Beta","Ammonium","3"
"Bi-fuel vehicle","Ball bearing","2"
"Bicameralism","Alloy","15"
"Bicameralism","Base metal","5"
"Bicarbonate","Ammonium carbonate","2"
"Bicarbonate","Ammonium hydroxide","2"
"Bicarbonate","Aqueous solution","2"
"Bicarbonate","BA2","2"
"Bicarbonate","BaSO4","9"
"Bicarbonate","Barium","2"
"Bicarbonate","Barium carbonate","5"
"Bicarbonate","Barium chloride","3"
"Bicarbonate","Barium fluoride","3"
"Bicarbonate","Barium hydroxide","2"
"Bicarbonate","Barium oxide","2"
"Bimetal","Abelmoschus moschatus","2"
"Bimetal","Abrus precatorius","2"
"Bimetal","Acmella oleracea","2"
"Bimetal","Acorus calamus","2"
"Bimetal","Andrographis paniculata","2"
"Bimetal","Anisomeles malabarica","2"
"Bimetal","Antimony","2"
"Bimetal","Asparagus racemosus","2"
"Bimetal","Bacopa monnieri","2"
"Binder (material)","Addition","5"
"Binder (material)","Alloy","3"
"Binder (material)","Aluminium oxide","2"
"Binder (material)","Ambient pressure","3"
"Binder (material)","Aqueous solution","3"
"Binder (material)","Argon","3"
"Binder (material)","Ball mill","2"
"Binder (material)","Behenic acid","2"
"Biocompatibility","Aqueous solution","3"
"Biodegradation","Biocompatibility","2"
"Biomass","Ammonium chloride","2"
"Biomass","Ammonium hydroxide","2"
"Biomass","Archaea","15"
"Biomass","Asphalt","2"
"Biomass","Atomic number","5"
"Biomass","Bagasse","2"
"Biomolecule","Antibody","2"
"Biomolecule","Avidin","2"
"Bioreactor","Air embolism","3"
"Bioreactor","Biofilm","2"
"Bioreactor","Biofilter","6"
"Biotechnology","Animal","2"
"Biotin","Accordance","2"
"Biotin","Aqueous solution","2"
"Biotin","Avidin","2"
"Biotin","Biomolecule","2"
"Biotite","Albite","4"
"Biotite","Amblygonite","4"
"Biotite","Amphibole","4"
"Biotite","Amphibolite","2"
"Biotite","Analcime","4"
"Biotite","Apatite","2"
"Biotite","Avogadrite","4"
"Biotite","Beryl","4"
"Bipyridine","Aluminium chloride","2"
"Bipyridine","Ammonium chloride","2"
"Bipyridine","Aryl","2"
"Bismuth","1,3-Diphenylurea","3"
"Bismuth","Abelmoschus moschatus","2"
"Bismuth","Abrus precatorius","2"
"Bismuth","Accordance","2"
"Bismuth","Acetic anhydride","2"
"Bismuth","Acmella oleracea","2"
"Bismuth","Acorus calamus","2"
"Bismuth","Addition","4"
"Bismuth","Alkali metal","5"
"Bismuth","Alkaline earth metal","3"
"Bismuth","Alkanolamine","2"
"Bismuth","Alloy","13"
"Bismuth","Alpha decay","4"
"Bismuth","Alpha particle","4"
"Bismuth","Aluminium alloy","7"
"Bismuth","Aluminium foil","3"
"Bismuth","Ammonium carbonate","2"
"Bismuth","Andrographis paniculata","2"
"Bismuth","Anisomeles malabarica","2"
"Bismuth","Antimony","138"
"Bismuth","Antinomy","4"
"Bismuth","Aqueous solution","3"
"Bismuth","Arsenic","45"
"Bismuth","Asparagus racemosus","2"
"Bismuth","Atomic number","3"
"Bismuth","Atomic ratio","2"
"Bismuth","Bacopa monnieri","2"
"Bismuth","Bacterial growth","2"
"Bismuth","Barium","14"
"Bismuth","Base metal","4"
"Bismuth","Benzhydryl compounds","2"
"Bismuth","Beryllium","27"
"Bismuth","Bimetal","2"
"Bismuth oxychloride","Algarot","2"
"Bismuth oxychloride","BaSO4","2"
"Bismuth(III) oxide","Bismuth","2"
"Bituminous coal","Anthracite","7"
"Black liquor","Ammonium chloride","2"
"Black liquor","Asphalt","2"
"Black liquor","Biomass","2"
"Black smoke","Addition","2"
"Blade","Airfoil","2"
"Blank (solution)","Aqueous solution","3"
"Blast furnace","""A"" Device","2"
"Blast furnace","002 - Early Stage","12"
"Blast furnace","Accordance","5"
"Blast furnace","Acetic acid","3"
"Blast furnace","Addition","13"
"Blast furnace","Aerosol","5"
"Blast furnace","Airfoil","4"
"Blast furnace","Alpha","6"
"Blast furnace","Aqueous solution","5"
"Blast furnace","BLAST","2"
"Blast furnace","Biochar","3"
"Blast furnace","Biomass","5"
"Blast furnace","Bit rate","2"
"Blast furnace gas","""A"" Device","2"
"Blast furnace gas","Air mass","2"
"Blast furnace gas","Blast furnace","48"
"Blood","Adiabatic flame temperature","4"
"Blood vessel","Bile duct","4"
"Blood vessel","Biliary tract","2"
"Blow molding","Amorphous metal","5"
"Blowing (album)","Blast furnace","4"
"Bo","Aluminium oxide","2"
"Boat","Aluminium alloy","7"
"Body of water","Aqueous solution","2"
"Boehmite","Aluminium nitride","2"
"Boehmite","Aluminium oxide","2"
"Boiler","Arc welding","2"
"Boiler (water heating)","Adiabatic flame temperature","2"
"Boiler tube","Arc welding","2"
"Boiler tube","Boiler","2"
"Boiling point","Alkali","3"
"Boiling point","Alkali metal","4"
"Boiling point","Ambient pressure","2"
"Boiling point","Ammonium chloride","3"
"Boiling point","Atmospheric pressure","18"
"Boiling point","Beam diameter","2"
"Boiling point","Binary compound","9"
"Boiling point","Binary object","2"
"Bolt Head","Altered chord","2"
"Bond strength","Abrasion (mechanical)","2"
"Bond strength","Binder (material)","2"
"Borate minerals","Albite","4"
"Borate minerals","Amblygonite","4"
"Borate minerals","Amphibole","4"
"Borate minerals","Amphibolite","2"
"Borate minerals","Analcime","4"
"Borate minerals","Apatite","2"
"Borate minerals","Avogadrite","5"
"Borate minerals","Beryl","5"
"Borate minerals","Biotite","4"
"Borax","Aqueous solution","2"
"Borehole","Blast furnace","5"
"Boric acid","Acid strength","2"
"Boric acid","Aqueous solution","3"
"Boride","A roads in Zone 1 of the Great Britain numbering scheme","2"
"Boride","Aluminium alloy","2"
"Boride","Aluminium nitride","4"
"Boride","Aluminium oxide","7"
"Boride","Aluminosilicate","2"
"Boride","Amorphous metal","2"
"Boride","Binder (material)","4"
"Bornite","Ammonium","2"
"Bornite","Antimony","2"
"Bornite","Aqueous solution","2"
"Bornite","Arsenic","4"
"Boron","1,3-Diphenylurea","6"
"Boron","Accordance","2"
"Boron","Acicular ferrite","6"
"Boron","Addition","7"
"Boron","Aldehyde","2"
"Boron","Alkali","12"
"Boron","Alkali metal","33"
"Boron","Alkane","2"
"Boron","Alloy","12"
"Boron","Alloy steel","14"
"Boron","Aluminium alloy","21"
"Boron","Aluminium oxide","9"
"Boron","Aluminium powder","3"
"Boron","Aluminosilicate","2"
"Boron","Amorphous metal","30"
"Boron","Antimony","62"
"Boron","Antinomy","4"
"Boron","Argon","3"
"Boron","Arithmetic","2"
"Boron","Aromaticity","2"
"Boron","Arsenic","40"
